砍耫布菌︽薄
布腹,7708
布嘿,產繺都
戈る,11310る
,筿福某基翴匡Θユ,,,,,,╰参某基Θユ
"ら戳","Θユ计","Θユ肂(じ)","Θユ程蔼","Θユ程","ΘユА基","掸计","Θユ计","Θユ肂(じ)","Θユ程蔼","Θユ程","ΘユА基","掸计"
"113/10/01","7,944","819,885","105.00","100.00","103.21","19","0","0","0.00","0.00","0.00","0"
"113/10/04","21,848","2,311,262","108.00","104.00","105.79","17","0","0","0.00","0.00","0.00","0"
"113/10/07","6,129","649,886","108.00","105.00","106.03","10","0","0","0.00","0.00","0.00","0"
"113/10/08","8,078","871,424","108.00","107.00","107.88","9","0","0","0.00","0.00","0.00","0"
"113/10/09","17,861","1,924,986","108.00","106.00","107.78","12","0","0","0.00","0.00","0.00","0"
"113/10/11","1,103","118,021","107.00","107.00","107.00","3","0","0","0.00","0.00","0.00","0"
"113/10/14","4,013","430,404","108.00","107.00","107.25","6","0","0","0.00","0.00","0.00","0"
"113/10/15","45,478","4,869,700","109.00","106.50","107.08","46","0","0","0.00","0.00","0.00","0"
"113/10/16","42,176","4,510,890","111.00","106.00","106.95","44","0","0","0.00","0.00","0.00","0"
"113/10/17","15,725","1,692,377","111.00","107.00","107.62","24","0","0","0.00","0.00","0.00","0"
"113/10/18","33,770","3,631,126","111.00","107.00","107.53","31","0","0","0.00","0.00","0.00","0"
"113/10/21","35,618","3,833,794","111.00","107.00","107.64","42","0","0","0.00","0.00","0.00","0"
"113/10/22","2,370","254,450","111.00","106.50","107.36","7","0","0","0.00","0.00","0.00","0"
"113/10/23","24,659","2,628,947","108.50","106.50","106.61","30","0","0","0.00","0.00","0.00","0"
"113/10/24","56,336","6,089,535","112.00","103.00","108.09","73","0","0","0.00","0.00","0.00","0"
"113/10/25","78,392","8,663,406","113.00","108.50","110.51","117","0","0","0.00","0.00","0.00","0"
"113/10/28","26,790","2,962,023","113.00","109.50","110.56","44","0","0","0.00","0.00","0.00","0"
"113/10/29","22,028","2,425,729","113.00","109.50","110.12","35","0","0","0.00","0.00","0.00","0"
"113/10/30","53,323","5,874,325","113.00","109.50","110.16","48","0","0","0.00","0.00","0.00","0"
