"公開申購公告-抽籤日程表"
"序號","抽籤日期","證券名稱","證券代號","發行市場","申購開始日","申購結束日","承銷股數","實際承銷股數","承銷價(元)","實際承銷價(元)","撥券日期(上市、上櫃日期)","主辦券商","申購股數","總承銷金額(元)","總合格件","中籤率(%)","取消公開抽籤 ",
"1","113/11/12","113央債甲11","A131KA","中央登錄公債","113/11/04","113/11/08","80,000","80,000","100","100","113/11/15","中華郵政公司","1,000","8,000,000","0","0","",
"2","113/11/12","113央債甲11","A131KB","中央登錄公債","113/11/04","113/11/08","120,000","120,000","100","100","113/11/15","中華郵政公司","2,000","12,000,000","0","0","",
"3","113/11/12","113央債甲11","A131KC","中央登錄公債","113/11/04","113/11/08","300,000","300,000","100","100","113/11/15","中華郵政公司","5,000","30,000,000","0","0","",
"4","113/11/12","113央債甲11","A131KD","中央登錄公債","113/11/04","113/11/08","600,000","600,000","100","100","113/11/15","中華郵政公司","10,000","60,000,000","0","0","",
"5","113/11/12","113央債甲11","A131KO","中央登錄公債","113/11/04","113/11/08","900,000","900,000","100","100","113/11/15","中華郵政公司","15,000","90,000,000","0","0","",
"6","113/11/11","全家餐飲","7708","初上櫃","113/11/05","113/11/07","625,000","625,000","72","72","113/11/15","元大","1,000","45,000,000","0","0","",
"7","113/11/07","浩鼎","4174","上櫃增資","113/11/01","113/11/05","2,873,000","2,873,000","64","64","113/11/15","元富","1,000","183,872,000","0","0","",
"8","113/11/07","銳澤","7703","初上櫃","113/10/31","113/11/05","584,000","584,000","120","120","113/11/13","凱基","1,000","70,080,000","0","0","",
"9","113/11/07","合晶","6182","上櫃增資","113/11/01","113/11/05","2,550,000","2,550,000","26.5","26.5","113/11/15","富邦","1,000","67,575,000","0","0","",
"10","113/11/05","順藥","6535","上櫃增資","113/10/29","113/11/01","340,000","340,000","225","225","113/11/13","元富","1,000","76,500,000","0","0","",
"11","113/11/05","慶豐富","9935","上市增資","113/10/29","113/11/01","340,000","340,000","27.3","27.3","113/11/13","凱基","1,000","9,282,000","0","0","",
"12","113/11/04","泰鼎-KY","4927","第一上市公司現金增資","113/10/28","113/10/30","2,550,000","2,550,000","40","40","113/11/12","凱基","1,000","102,000,000","0","0","",
"13","113/10/30","允強","2034","上市增資","113/10/24","113/10/28","4,250,000","4,250,000","19","19","113/11/08","永豐金","1,000","80,750,000","129,402","3.28","",
"14","113/10/24","宏全","9939","上市增資","113/10/18","113/10/22","680,000","680,000","133","133","113/11/01","台新","1,000","90,440,000","181,155","0.37","",
