砍耫布菌︽薄
布腹,2646
布嘿,琍
戈る,11310る
,筿福某基翴匡Θユ,,,,,,╰参某基Θユ
"ら戳","Θユ计","Θユ肂(じ)","Θユ程蔼","Θユ程","ΘユА基","掸计","Θユ计","Θユ肂(じ)","Θユ程蔼","Θユ程","ΘユА基","掸计"
"113/10/01","9,708,507","295,210,792","30.75","30.20","30.41","3,517","0","0","0.00","0.00","0.00","0"
"113/10/04","23,206,147","687,867,633","30.45","29.30","29.64","8,127","0","0","0.00","0.00","0.00","0"
"113/10/07","16,746,145","496,072,283","30.10","28.95","29.62","5,575","0","0","0.00","0.00","0.00","0"
"113/10/08","13,995,111","419,537,040","30.30","29.80","29.98","4,470","0","0","0.00","0.00","0.00","0"
"113/10/09","6,138,178","183,851,137","30.20","29.70","29.95","2,700","0","0","0.00","0.00","0.00","0"
"113/10/11","19,076,117","563,635,668","30.25","28.95","29.55","7,287","0","0","0.00","0.00","0.00","0"
"113/10/14","12,859,424","378,841,381","29.85","29.10","29.46","4,410","0","0","0.00","0.00","0.00","0"
"113/10/15","32,483,376","994,609,878","31.05","29.75","30.62","11,659","0","0","0.00","0.00","0.00","0"
"113/10/16","28,765,576","903,393,343","31.70","30.70","31.41","10,502","0","0","0.00","0.00","0.00","0"
"113/10/17","23,764,561","758,623,771","32.25","31.30","31.92","8,149","0","0","0.00","0.00","0.00","0"
"113/10/18","21,782,066","692,066,261","32.30","31.40","31.77","8,047","0","0","0.00","0.00","0.00","0"
"113/10/21","22,026,447","687,243,983","31.80","30.90","31.20","8,076","0","0","0.00","0.00","0.00","0"
"113/10/22","16,817,560","516,991,167","31.30","30.45","30.74","6,510","0","0","0.00","0.00","0.00","0"
"113/10/23","19,678,991","602,538,967","31.10","30.35","30.62","6,073","0","0","0.00","0.00","0.00","0"
"113/10/24","24,649,520","771,488,724","31.55","30.85","31.30","9,173","0","0","0.00","0.00","0.00","0"
