砍耫布菌︽薄
布腹,8272
布嘿,春硁砰
戈る,11310る
,筿福某基翴匡Θユ,,,,,,╰参某基Θユ
"ら戳","Θユ计","Θユ肂(じ)","Θユ程蔼","Θユ程","ΘユА基","掸计","Θユ计","Θユ肂(じ)","Θユ程蔼","Θユ程","ΘユА基","掸计"
"113/10/01","47,793","4,726,304","100.00","96.70","98.89","71","0","0","0.00","0.00","0.00","0"
"113/10/04","38,163","3,606,824","100.00","90.70","94.51","64","0","0","0.00","0.00","0.00","0"
"113/10/07","55,233","5,352,373","98.90","94.30","96.91","71","0","0","0.00","0.00","0.00","0"
"113/10/08","85,190","8,476,669","102.50","96.00","99.50","123","0","0","0.00","0.00","0.00","0"
"113/10/09","81,811","8,198,306","102.50","99.10","100.21","142","0","0","0.00","0.00","0.00","0"
"113/10/11","181,002","18,500,095","106.00","100.00","102.21","234","0","0","0.00","0.00","0.00","0"
"113/10/14","96,361","9,819,328","103.50","101.00","101.90","140","0","0","0.00","0.00","0.00","0"
"113/10/15","316,241","33,952,032","111.50","101.00","107.36","427","0","0","0.00","0.00","0.00","0"
"113/10/16","156,276","16,913,633","110.50","106.00","108.23","183","0","0","0.00","0.00","0.00","0"
"113/10/17","331,612","38,484,590","120.50","108.50","116.05","449","0","0","0.00","0.00","0.00","0"
"113/10/18","326,828","39,416,988","126.50","118.00","120.60","411","0","0","0.00","0.00","0.00","0"
"113/10/21","312,945","35,982,483","124.50","109.50","114.98","380","0","0","0.00","0.00","0.00","0"
"113/10/22","364,321","43,332,076","121.00","110.00","118.94","375","0","0","0.00","0.00","0.00","0"
